22.09.14 21:57
Статистика проекта

                    	Сегменты	  Слова	Символы (без пробелов)	Символы (с пробелами)	Количество файлов	
Всего:              	  118134	1099223	               5740714	              6675727	              173	
Осталось:           	  117951	1098638	               5736518	              6671155	              173	
Уникальные:         	   84625	 974570	               5081677	              5924972	              172	
Осталось уникальных:	   84608	 974317	               5080301	              5923386	              172	


Статистика по отдельным файлам:

Имя файла               	Всего сегментов	Осталось сегментов	Уникальные сегменты	Осталось уникальных сегментов	Всего слов	Осталось слов	Уникальные слова	Осталось уникальных слов	Всего символов (без пробелов)	Осталось символов (без пробелов)	Уникальные символы (без пробелов)	Осталось уникальных символов (без пробелов)	Всего символов (включая пробелы)	Осталось символов (включая пробелы)	Уникальные символы (включая пробелы)	Осталось уникальных символов (включая пробелы)	
pods\a2p.pod            	             91	                90	                 88	                           87	      1056	         1054	            1052	                    1050	                         5050	                            5033	                             5033	                                       5016	                            5922	                               5904	                                5903	                                          5885	
pods\perl.pod           	            260	               259	                251	                          251	      2114	         2112	            2095	                    2095	                        12290	                           12273	                            12169	                                      12169	                           13912	                              13894	                               13781	                                         13781	
pods\perl5004delta.pod  	            838	               837	                768	                          768	      9158	         9156	            8976	                    8976	                        46181	                           46164	                            45298	                                      45298	                           54004	                              53986	                               52992	                                         52992	
pods\perl5005delta.pod  	            513	               512	                466	                          466	      5487	         5485	            5217	                    5217	                        28643	                           28626	                            27331	                                      27331	                           33187	                              33169	                               31675	                                         31675	
pods\perl5100delta.pod  	            817	               816	                726	                          726	      8885	         8883	            8711	                    8711	                        45801	                           45784	                            44808	                                      44808	                           53160	                              53142	                               52061	                                         52061	
pods\perl5101delta.pod  	            847	               846	                663	                          663	      7186	         7184	            6713	                    6713	                        36784	                           36767	                            34325	                                      34325	                           42222	                              42204	                               39405	                                         39405	
pods\perl5120delta.pod  	           1492	              1491	                758	                          758	     14424	        14422	           10477	                   10477	                        75133	                           75116	                            54951	                                      54951	                           86413	                              86395	                               63228	                                         63228	
pods\perl5121delta.pod  	            185	               184	                 86	                           86	      1599	         1597	            1182	                    1182	                         8518	                            8501	                             6288	                                       6288	                            9758	                               9740	                                7196	                                          7196	
pods\perl5122delta.pod  	            150	               149	                 62	                           62	      1512	         1510	            1104	                    1104	                         8179	                            8162	                             6004	                                       6004	                            9316	                               9298	                                6827	                                          6827	
pods\perl5123delta.pod  	             54	                53	                 27	                           27	       648	          646	             358	                     358	                         3461	                            3444	                             1981	                                       1981	                            3986	                               3968	                                2272	                                          2272	
pods\perl5124delta.pod  	             47	                46	                 19	                           19	       594	          592	             340	                     340	                         3100	                            3083	                             1787	                                       1787	                            3584	                               3566	                                2070	                                          2070	
pods\perl5125delta.pod  	            114	               113	                 71	                           71	      1220	         1218	             906	                     906	                         6488	                            6471	                             4847	                                       4847	                            7466	                               7448	                                5574	                                          5574	
pods\perl5140delta.pod  	           2101	              2100	               1524	                         1524	     23203	        23201	           21978	                   21978	                       121034	                          121017	                           114297	                                     114297	                          139878	                             139860	                              132178	                                        132178	
pods\perl5141delta.pod  	            170	               169	                 61	                           61	      1254	         1252	             776	                     776	                         6649	                            6632	                             4108	                                       4108	                            7626	                               7608	                                4723	                                          4723	
pods\perl5142delta.pod  	            113	               112	                 35	                           35	      1093	         1091	             545	                     545	                         5788	                            5771	                             2938	                                       2938	                            6672	                               6654	                                3393	                                          3393	
pods\perl5143delta.pod  	            129	               128	                 41	                           41	      1235	         1233	             627	                     627	                         6511	                            6494	                             3289	                                       3289	                            7513	                               7495	                                3802	                                          3802	
pods\perl5144delta.pod  	            111	               110	                 37	                           37	       983	          981	             472	                     472	                         5324	                            5307	                             2572	                                       2572	                            6114	                               6096	                                2961	                                          2961	
pods\perl5160delta.pod  	           2024	              2023	               1345	                         1345	     21531	        21529	           20034	                   20034	                       111697	                          111680	                           103627	                                     103627	                          129068	                             129050	                              119859	                                        119859	
pods\perl5161delta.pod  	             94	                93	                 41	                           41	       965	          963	             618	                     618	                         5184	                            5167	                             3364	                                       3364	                            5963	                               5945	                                3866	                                          3866	
pods\perl5162delta.pod  	             56	                55	                 15	                           15	       570	          568	             194	                     194	                         3018	                            3001	                             1066	                                       1066	                            3487	                               3469	                                1232	                                          1232	
pods\perl5163delta.pod  	             59	                58	                 14	                           14	       654	          652	             182	                     182	                         3432	                            3415	                             1017	                                       1017	                            3974	                               3956	                                1171	                                          1171	
pods\perl5180delta.pod  	           1798	              1797	               1260	                         1260	     19305	        19303	           18228	                   18228	                        99763	                           99746	                            93721	                                      93721	                          115516	                             115498	                              108600	                                        108600	
pods\perl561delta.pod   	           1800	              1798	               1550	                         1550	     19727	        19723	           18684	                   18684	                       104382	                          104348	                            98898	                                      98898	                          120564	                             120528	                              114338	                                        114338	
pods\perl56delta.pod    	           1462	              1460	                 16	                           16	     17009	        17005	             209	                     209	                        89721	                           89687	                             1121	                                       1121	                          103764	                             103728	                                1294	                                          1294	
pods\perl581delta.pod   	            517	               516	                425	                          425	      6167	         6165	            5885	                    5885	                        31592	                           31575	                            30136	                                      30136	                           36756	                              36738	                               35099	                                         35099	
pods\perl582delta.pod   	             77	                76	                 36	                           36	       694	          692	             494	                     494	                         3751	                            3734	                             2667	                                       2667	                            4305	                               4287	                                3083	                                          3083	
pods\perl583delta.pod   	            103	               102	                 57	                           57	      1023	         1021	             798	                     798	                         5327	                            5310	                             4130	                                       4130	                            6143	                               6125	                                4793	                                          4793	
pods\perl584delta.pod   	            125	               124	                 70	                           70	      1190	         1188	             910	                     910	                         6175	                            6158	                             4697	                                       4697	                            7124	                               7106	                                5447	                                          5447	
pods\perl585delta.pod   	            127	               126	                 59	                           59	       918	          916	             662	                     662	                         4873	                            4856	                             3551	                                       3551	                            5634	                               5616	                                4110	                                          4110	
pods\perl586delta.pod   	             83	                82	                 42	                           42	       763	          761	             548	                     548	                         3863	                            3846	                             2767	                                       2767	                            4488	                               4470	                                3225	                                          3225	
pods\perl587delta.pod   	            186	               185	                 93	                           93	      1352	         1350	            1072	                    1072	                         6944	                            6927	                             5449	                                       5449	                            8004	                               7986	                                6287	                                          6287	
pods\perl588delta.pod   	            799	               798	                282	                          282	      3867	         3865	            2828	                    2828	                        20774	                           20757	                            14903	                                      14903	                           23649	                              23631	                               17052	                                         17052	
pods\perl589delta.pod   	           1132	              1131	                645	                          645	      8644	         8642	            7469	                    7469	                        45098	                           45081	                            38793	                                      38793	                           51698	                              51680	                               44483	                                         44483	
pods\perl58delta.pod    	           1891	              1890	               1215	                         1215	     18135	        18133	           16580	                   16580	                        95486	                           95469	                            87072	                                      87072	                          110827	                             110809	                              101201	                                        101201	
pods\perlaix.pod        	            289	               288	                252	                          252	      3189	         3187	            3050	                    3050	                        15609	                           15592	                            14848	                                      14848	                           18830	                              18812	                               17963	                                         17963	
pods\perlamiga.pod      	            138	               137	                122	                          122	      1114	         1112	            1087	                    1087	                         5680	                            5663	                             5537	                                       5537	                            6562	                               6544	                                6403	                                          6403	
pods\perlapi.pod        	           5803	              5803	               4432	                         4432	     55907	        55907	           45262	                   45262	                       285843	                          285843	                           235396	                                     235396	                          330204	                             330204	                              271901	                                        271901	
pods\perlapio.pod       	            300	               299	                279	                          279	      3025	         3023	            2973	                    2973	                        16020	                           16003	                            15779	                                      15779	                           18552	                              18534	                               18283	                                         18283	
pods\perlartistic.pod   	             86	                85	                 66	                           66	      1125	         1123	            1088	                    1088	                         5841	                            5824	                             5651	                                       5651	                            6807	                               6789	                                6600	                                          6600	
pods\perlbook.pod       	            113	               112	                 90	                           90	      1177	         1175	            1136	                    1136	                         6432	                            6415	                             6246	                                       6246	                            7199	                               7181	                                6996	                                          6996	
pods\perlboot.pod       	              6	                 5	                  2	                            2	        27	           25	              20	                      20	                          153	                             136	                              109	                                        109	                             172	                                154	                                 125	                                           125	
pods\perlbot.pod        	              6	                 5	                  1	                            1	        27	           25	               6	                       6	                          152	                             135	                               34	                                         34	                             171	                                153	                                  40	                                            40	
pods\perlbs2000.pod     	            121	               120	                111	                          111	      1285	         1283	            1256	                    1256	                         6619	                            6602	                             6466	                                       6466	                            7598	                               7580	                                7429	                                          7429	
pods\perlcall.pod       	           1119	              1118	                748	                          748	      8674	         8672	            8152	                    8152	                        42352	                           42335	                            39481	                                      39481	                           49296	                              49278	                               46211	                                         46211	
pods\perlce.pod         	            135	               135	                113	                          113	      1357	         1357	            1316	                    1316	                         7642	                            7642	                             7426	                                       7426	                            8667	                               8667	                                8429	                                          8429	
pods\perlcheat.pod      	             97	                96	                 85	                           85	       538	          536	             521	                     521	                         2671	                            2654	                             2565	                                       2565	                            4029	                               4011	                                3913	                                          3913	
